2018-10-14 14:51:02,827 [main] ERROR library.DicLibrary - Init dic library error :org.ansj.exception.LibraryException:  path :library/default.dic file:D:\javaworkspace\NewsCertify-Common\library\default.dic not found or can not to read, path: library/default.dic
2018-10-14 14:53:05,236 [main] WARN  util.MyStaticValue - not find library.properties in classpath use it by default !
2018-10-14 14:53:05,240 [main] ERROR library.AmbiguityLibrary - Init ambiguity library error :org.ansj.exception.LibraryException:  path :library/ambiguity.dic file:D:\javaworkspace\NewsCertify-Common\library\ambiguity.dic not found or can not to read, path: library/ambiguity.dic
2018-10-14 14:53:05,240 [main] ERROR library.DicLibrary - Init dic library error :org.ansj.exception.LibraryException:  path :library/default.dic file:D:\javaworkspace\NewsCertify-Common\library\default.dic not found or can not to read, path: library/default.dic
2018-10-14 14:55:11,827 [main] WARN  util.MyStaticValue - not find library.properties in classpath use it by default !
2018-10-14 14:55:11,831 [main] ERROR library.AmbiguityLibrary - Init ambiguity library error :org.ansj.exception.LibraryException:  path :library/ambiguity.dic file:D:\javaworkspace\NewsCertify-Common\library\ambiguity.dic not found or can not to read, path: library/ambiguity.dic
2018-10-14 14:55:11,832 [main] ERROR library.DicLibrary - Init dic library error :org.ansj.exception.LibraryException:  path :library/default.dic file:D:\javaworkspace\NewsCertify-Common\library\default.dic not found or can not to read, path: library/default.dic
2018-10-14 14:55:59,668 [main] WARN  util.MyStaticValue - not find library.properties in classpath use it by default !
2018-10-14 14:55:59,675 [main] ERROR library.AmbiguityLibrary - Init ambiguity library error :org.ansj.exception.LibraryException:  path :library/ambiguity.dic file:D:\javaworkspace\NewsCertify-Common\library\ambiguity.dic not found or can not to read, path: library/ambiguity.dic
2018-10-14 14:55:59,676 [main] ERROR library.DicLibrary - Init dic library error :org.ansj.exception.LibraryException:  path :library/default.dic file:D:\javaworkspace\NewsCertify-Common\library\default.dic not found or can not to read, path: library/default.dic
2018-10-14 14:56:54,375 [main] WARN  util.MyStaticValue - not find library.properties in classpath use it by default !
2018-10-14 14:56:54,378 [main] ERROR library.AmbiguityLibrary - Init ambiguity library error :org.ansj.exception.LibraryException:  path :library/ambiguity.dic file:D:\javaworkspace\NewsCertify-Common\library\ambiguity.dic not found or can not to read, path: library/ambiguity.dic
2018-10-14 14:56:54,379 [main] ERROR library.DicLibrary - Init dic library error :org.ansj.exception.LibraryException:  path :library/default.dic file:D:\javaworkspace\NewsCertify-Common\library\default.dic not found or can not to read, path: library/default.dic
2018-10-14 15:01:13,944 [main] WARN  util.MyStaticValue - not find library.properties in classpath use it by default !
2018-10-14 15:01:13,948 [main] ERROR library.AmbiguityLibrary - Init ambiguity library error :org.ansj.exception.LibraryException:  path :library/ambiguity.dic file:D:\javaworkspace\NewsCertify-Common\library\ambiguity.dic not found or can not to read, path: library/ambiguity.dic
2018-10-14 15:01:13,949 [main] ERROR library.DicLibrary - Init dic library error :org.ansj.exception.LibraryException:  path :library/default.dic file:D:\javaworkspace\NewsCertify-Common\library\default.dic not found or can not to read, path: library/default.dic
2018-10-14 15:01:43,142 [main] WARN  util.MyStaticValue - not find library.properties in classpath use it by default !
2018-10-14 15:01:43,145 [main] ERROR library.AmbiguityLibrary - Init ambiguity library error :org.ansj.exception.LibraryException:  path :library/ambiguity.dic file:D:\javaworkspace\NewsCertify-Common\library\ambiguity.dic not found or can not to read, path: library/ambiguity.dic
2018-10-14 15:01:43,146 [main] ERROR library.DicLibrary - Init dic library error :org.ansj.exception.LibraryException:  path :library/default.dic file:D:\javaworkspace\NewsCertify-Common\library\default.dic not found or can not to read, path: library/default.dic
